"","RT","true","inter","cnt","mask","noise","ID","type","eta_pro","eta_re"
"276",440.833099999963,1,0,0,0,0,2,"1",-90,0
"277",530.262200000038,1,0,0,0,0,2,"3",-90,90
"278",360.202100000038,1,0,0,0,0,2,"4",-90,-90
"279",338.069000000019,1,0,0,0,0,2,"3",-90,90
"280",514.908300000002,1,0,0,0,0,2,"1",-90,0
"281",882.384600000023,1,0,0,0,0,2,"2",90,-90
"282",371.487700000102,1,0,0,0,0,2,"1",-90,0
"283",604.156099999955,1,0,0,0,0,2,"1",-90,0
"284",688.501900000006,1,0,0,0,0,2,"1",-90,0
"285",482.465599999955,1,0,0,0,0,2,"1",-90,0
"286",834.770399999911,1,0,0,0,0,2,"1",-90,0
"287",661.904700000036,1,0,0,0,0,2,"1",-90,0
"288",328.510899999969,1,0,0,0,0,2,"4",-90,-90
"289",633.419000000004,1,0,0,0,0,2,"1",-90,0
"290",363.856899999973,1,0,0,0,0,2,"3",-90,90
"291",677.553000000103,1,0,0,0,0,2,"1",-90,0
"292",662.79540000005,1,0,0,0,0,2,"1",-90,0
"293",856.454100000064,1,0,0,0,0,2,"1",-90,0
"294",827.615599999945,1,0,0,0,0,2,"2",90,-90
"295",367.085300000099,1,0,0,0,0,2,"1",-90,0
"296",639.494799999966,1,0,0,0,0,2,"1",-90,0
"297",498.789500000157,1,0,0,0,0,2,"3",-90,90
"299",679.211800000076,1,0,0,0,0,2,"1",-90,0
"300",496.148700000049,1,0,0,0,0,2,"1",-90,0
"501",271.519699832425,1,0,0,0,0,3,"4",-90,-90
"502",254.935799865052,1,0,0,0,0,3,"3",-90,90
"503",718.581199878827,1,0,0,0,0,3,"1",-90,0
"504",293.280499987304,1,0,0,0,0,3,"1",-90,0
"505",276.678700000048,1,0,0,0,0,3,"1",-90,0
"506",340.783499879763,1,0,0,0,0,3,"1",-90,0
"507",388.264999957755,1,0,0,0,0,3,"1",-90,0
"508",420.02149997279,1,0,0,0,0,3,"1",-90,0
"509",387.86660018377,1,0,0,0,0,3,"2",90,-90
"510",363.061999902129,1,0,0,0,0,3,"1",-90,0
"511",370.642099995166,1,0,0,0,0,3,"1",-90,0
"512",330.242099938914,1,0,0,0,0,3,"1",-90,0
"513",394.075600197539,1,0,0,0,0,3,"1",-90,0
"514",233.902900014073,1,0,0,0,0,3,"3",-90,90
"515",306.617900030687,1,0,0,0,0,3,"1",-90,0
"516",329.426599899307,1,0,0,0,0,3,"1",-90,0
"517",304.564899997786,1,0,0,0,0,3,"1",-90,0
"518",336.045900126919,1,0,0,0,0,3,"1",-90,0
"519",295.967400074005,1,0,0,0,0,3,"1",-90,0
"520",335.255899932235,1,0,0,0,0,3,"1",-90,0
"521",311.033899895847,1,0,0,0,0,3,"1",-90,0
"522",310.727600008249,1,0,0,0,0,3,"4",-90,-90
"523",342.418600106612,1,0,0,0,0,3,"3",-90,90
"525",429.840700002387,1,0,0,0,0,3,"4",-90,-90
"526",620.99610012956,1,0,0,0,0,3,"1",-90,0
"527",783.886000048369,1,0,0,0,0,3,"4",-90,-90
"528",379.682400031015,1,0,0,0,0,3,"1",-90,0
"529",403.380200034007,1,0,0,0,0,3,"1",-90,0
"530",426.896899938583,1,0,0,0,0,3,"1",-90,0
"531",306.861799908802,1,0,0,0,0,3,"1",-90,0
"532",378.295599948615,1,0,0,0,0,3,"1",-90,0
"533",514.225500170141,1,0,0,0,0,3,"2",90,-90
"534",376.475499942899,1,0,0,0,0,3,"1",-90,0
"535",431.98570003733,1,0,0,0,0,3,"1",-90,0
"536",344.16040009819,1,0,0,0,0,3,"1",-90,0
"537",527.499800082296,1,0,0,0,0,3,"2",90,-90
"538",509.803400142118,1,0,0,0,0,3,"1",-90,0
"539",284.447899786755,1,0,0,0,0,3,"4",-90,-90
"540",516.735900193453,1,0,0,0,0,3,"1",-90,0
"541",395.530299982056,1,0,0,0,0,3,"1",-90,0
"542",850.499700056389,1,0,0,0,0,3,"2",90,-90
"543",580.184399848804,1,0,0,0,0,3,"1",-90,0
"544",736.29179992713,1,0,0,0,0,3,"1",-90,0
"545",326.263800030574,1,0,0,0,0,3,"1",-90,0
"546",405.739600071684,1,0,0,0,0,3,"1",-90,0
"547",309.447699924931,1,0,0,0,0,3,"3",-90,90
"548",276.878099888563,1,0,0,0,0,3,"3",-90,90
"549",372.708299895748,1,0,0,0,0,3,"1",-90,0
"550",356.463199947029,1,0,0,0,0,3,"1",-90,0
"751",487.935293000191,1,0,0,0,0,4,"3",-90,90
"752",364.570742996875,1,0,0,0,0,4,"4",-90,-90
"753",327.428174990928,1,0,0,0,0,4,"1",-90,0
"754",372.574276989326,1,0,0,0,0,4,"1",-90,0
"755",287.593057000777,1,0,0,0,0,4,"1",-90,0
"756",377.941519982414,1,0,0,0,0,4,"1",-90,0
"757",292.503517004661,1,0,0,0,0,4,"4",-90,-90
"758",290.787946985802,1,0,0,0,0,4,"1",-90,0
"759",277.391064999392,1,0,0,0,0,4,"1",-90,0
"760",403.290144022321,1,0,0,0,0,4,"2",90,-90
"762",218.911974021466,1,0,0,0,0,4,"4",-90,-90
"763",419.954437005799,1,0,0,0,0,4,"2",90,-90
"764",313.642424007412,1,0,0,0,0,4,"1",-90,0
"765",306.368285004282,1,0,0,0,0,4,"1",-90,0
"766",349.183876009192,1,0,0,0,0,4,"1",-90,0
"767",351.92743098014,1,0,0,0,0,4,"1",-90,0
"768",329.864152998198,1,0,0,0,0,4,"1",-90,0
"769",358.3381799981,1,0,0,0,0,4,"1",-90,0
"770",298.429486982059,1,0,0,0,0,4,"1",-90,0
"771",262.519841984613,1,0,0,0,0,4,"1",-90,0
"772",281.372533994727,1,0,0,0,0,4,"1",-90,0
"773",306.281238998054,1,0,0,0,0,4,"1",-90,0
"774",334.836117021041,1,0,0,0,0,4,"1",-90,0
"775",267.831175005995,1,0,0,0,0,4,"3",-90,90
"776",279.507556988392,1,0,0,0,0,4,"4",-90,-90
"777",308.65373602137,1,0,0,0,0,4,"1",-90,0
"778",267.857783008367,1,0,0,0,0,4,"3",-90,90
"779",303.653151990147,1,0,0,0,0,4,"1",-90,0
"780",311.828803998651,1,0,0,0,0,4,"1",-90,0
"781",285.070789977908,1,0,0,0,0,4,"1",-90,0
"782",295.074177003698,1,0,0,0,0,4,"1",-90,0
"783",264.034013001947,1,0,0,0,0,4,"1",-90,0
"784",304.356756998459,1,0,0,0,0,4,"1",-90,0
"785",446.425207977882,1,0,0,0,0,4,"2",90,-90
"786",493.074146012077,1,0,0,0,0,4,"3",-90,90
"787",340.832276007859,1,0,0,0,0,4,"1",-90,0
"788",433.79024398746,1,0,0,0,0,4,"1",-90,0
"789",372.085622977465,1,0,0,0,0,4,"1",-90,0
"790",356.210710015148,1,0,0,0,0,4,"4",-90,-90
"791",350.880430982215,1,0,0,0,0,4,"1",-90,0
"792",366.663090011571,1,0,0,0,0,4,"1",-90,0
"793",456.950871011941,1,0,0,0,0,4,"3",-90,90
"794",423.137095000129,1,0,0,0,0,4,"1",-90,0
"795",493.500378011959,1,0,0,0,0,4,"2",90,-90
"796",378.220614977181,1,0,0,0,0,4,"1",-90,0
"797",824.849375989288,1,0,0,0,0,4,"1",-90,0
"798",369.48647297686,1,0,0,0,0,4,"1",-90,0
"799",396.695585979614,1,0,0,0,0,4,"1",-90,0
"800",343.234486994334,1,0,0,0,0,4,"1",-90,0
"1001",563.641165834809,1,0,0,0,0,5,"1",-90,0
"1002",420.787093130959,1,0,0,0,0,5,"1",-90,0
"1003",610.107893277693,1,0,0,0,0,5,"1",-90,0
"1004",493.25353005219,1,0,0,0,0,5,"1",-90,0
